,agg_dob_first,agg_dob_second,agg_height_first,agg_height_second,agg_reach_first,agg_reach_second,agg_stand_first,agg_stand_second,agg_str_acc_first,agg_str_acc_second,agg_weight_first,date_card,first_fighter_res,first_sig_str_,first_sig_str_percentage,first_total_str,method,second_sig_str_percentage,second_total_str,time,type
1002,30-Apr-88,13-Jun-94,"5' 7""","5' 8""","67""","67""",Orthodox,Orthodox,34%,36%,135 lbs.,18-Feb-18,L,43 of 121,35%,80 of 165, Decision - Unanimous ,55%,107 of 171,5:00,
1003,10-Apr-80,16-Aug-90,"5' 10""","5' 11""","72""","72""",Orthodox,Orthodox,43%,42%,170 lbs.,18-Feb-18,L,4 of 13,30%,4 of 13, Submission ,36%,7 of 19,2:12,
1004,24-Jan-90,3-Jul-86,"6' 0""","6' 2""","76""","76""",Southpaw,Orthodox,52%,38%,185 lbs.,18-Feb-18,W,17 of 22,77%,17 of 22, KO/TKO ,44%,8 of 18,1:54,
1005,30-Apr-77,17-Oct-84,"6' 0""","6' 3""","73""","77""",Southpaw,Southpaw,49%,48%,185 lbs.,10-Feb-18,W,45 of 92,48%,52 of 99, KO/TKO ,37%,45 of 119,1:48,belt
1006,25-May-86,,"5' 9""",,"71""",,Orthodox,,40%,,145 lbs.,16-Sep-09,W,28 of 50,56%,30 of 52, TKO - Doctor's Stoppage ,18%,11 of 51,3:23,ko
1007,23-Mar-74,18-Feb-91,"5' 10""","6' 4""","72""","80""",Orthodox,Orthodox,43%,53%,265 lbs.,10-Feb-18,L,14 of 32,43%,35 of 53, Decision - Unanimous ,53%,126 of 184,5:00,
1008,16-Mar-93,24-Dec-85,"6' 2""","6' 0""","75""","74""",Southpaw,Orthodox,50%,39%,264 lbs.,10-Feb-18,W,38 of 51,74%,39 of 52, KO/TKO ,27%,3 of 11,2:18,
1009,19-Mar-82,14-Jun-92,"5' 4""","5' 5""","62""","67""",Orthodox,Orthodox,54%,41%,115 lbs.,3-Feb-18,L,6 of 11,54%,11 of 16, Submission ,66%,25 of 35,3:50,
1010,19-Aug-94,20-Mar-88,"5' 11""","6' 0""","73""","71""",Orthodox,Orthodox,44%,42%,170 lbs.,10-Feb-18,W,63 of 127,49%,89 of 156, Decision - Unanimous ,32%,56 of 163,5:00,fight
1011,17-Sep-91,14-Oct-86,"6' 3""","6' 1""","79""","78""",Orthodox,Orthodox,62%,48%,205 lbs.,10-Feb-18,W,12 of 23,52%,17 of 28, Submission ,36%,10 of 24,3:54,
1012,11-Jun-90,7-Nov-84,"5' 9""","5' 11""","71""","71""",Orthodox,Orthodox,37%,37%,155 lbs.,14-Jan-18,L,9 of 30,30%,9 of 30, KO/TKO ,46%,19 of 40,1:00,perf
1013,25-Dec-84,9-Sep-88,"5' 10""","5' 11""","68""","70""",Orthodox,Orthodox,38%,41%,155 lbs.,10-Feb-18,L,46 of 123,37%,46 of 123, Decision - Split ,43%,68 of 154,5:00,
1014,22-Feb-92,22-Jul-89,"6' 3""","6' 4""","80""","80""",Orthodox,Switch,50%,50%,185 lbs.,10-Feb-18,L,22 of 46,47%,33 of 59, KO/TKO ,69%,70 of 94,3:37,perf
1015,29-Sep-88,16-Sep-92,"5' 6""","5' 11""","71""","71""",Orthodox,Orthodox,55%,46%,145 lbs.,10-Feb-18,W,73 of 120,60%,105 of 158, KO/TKO ,32%,11 of 29,4:57,
1016,14-Apr-85,3-Aug-88,"5' 5""","5' 5""","67""","65""",Orthodox,Switch,39%,40%,125 lbs.,10-Feb-18,W,27 of 49,55%,50 of 72, Submission ,32%,37 of 82,1:43,perf
1017,26-Sep-84,5-May-81,"5' 8""","5' 7""","69""","67""",Orthodox,Orthodox,40%,40%,155 lbs.,10-Feb-18,W,58 of 176,32%,59 of 177, Decision - Unanimous ,36%,77 of 213,5:00,
1018,23-Jul-91,28-Jul-90,"5' 7""","5' 8""","69""","69""",Southpaw,Southpaw,44%,45%,135 lbs.,10-Feb-18,L,33 of 109,30%,35 of 111, Decision - Unanimous ,50%,54 of 103,5:00,
1019,12-Feb-88,27-Nov-91,"5' 11""","5' 11""","72""","71""",Orthodox,Orthodox,43%,33%,170 lbs.,10-Feb-18,W,63 of 130,48%,64 of 131, Decision - Unanimous ,36%,65 of 176,5:00,
1020,30-May-78,21-Apr-87,"6' 1""","6' 1""","74""","75""",Southpaw,Southpaw,53%,47%,185 lbs.,3-Feb-18,W,62 of 112,55%,66 of 116, Decision - Split ,41%,46 of 94,5:00,
1021,7-Mar-88,19-Aug-88,"5' 5""","5' 7""","66""","65""",Southpaw,Orthodox,51%,40%,125 lbs.,3-Feb-18,W,95 of 113,84%,230 of 254, Submission ,16%,3 of 13,4:25,perf
1022,4-Aug-80,22-Mar-87,"5' 9""","5' 6""","71""","65""",Southpaw,Orthodox,45%,41%,135 lbs.,3-Feb-18,W,17 of 30,56%,17 of 30, KO/TKO ,50%,1 of 2,1:06,perf
1023,25-Jul-81,11-Oct-89,"5' 6""","5' 10""","67""","73""",Orthodox,Southpaw,47%,46%,170 lbs.,3-Feb-18,W,36 of 72,50%,70 of 106, Decision - Unanimous ,54%,50 of 79,5:00,
1024,13-Mar-85,15-Sep-92,"6' 3""","6' 3""","77""","75""",Southpaw,Orthodox,45%,58%,265 lbs.,3-Feb-18,W,77 of 146,52%,139 of 217, Decision - Unanimous ,67%,89 of 119,5:00,
1025,22-Jun-85,2-Dec-92,"5' 7""","5' 8""","68""","70""",Orthodox,Switch,38%,49%,145 lbs.,3-Feb-18,W,97 of 232,41%,99 of 234, Decision - Unanimous ,37%,75 of 195,5:00,
1026,7-Jan-84,26-Jul-88,"6' 2""","6' 4""","76""","76""",Orthodox,Orthodox,48%,47%,205 lbs.,3-Feb-18,W,58 of 82,70%,80 of 106, KO/TKO ,45%,13 of 26,1:03,fight
1027,25-Sep-87,13-Nov-86,"5' 10""","5' 7""","72""","71""",Orthodox,Orthodox,35%,52%,145 lbs.,27-Jan-18,L,7 of 16,43%,7 of 16, KO/TKO ,61%,42 of 63,4:46,
1028,23-Jul-82,20-Feb-84,"6' 0""","6' 2""","72""","75""",Orthodox,Orthodox,42%,48%,170 lbs.,3-Feb-18,W,87 of 192,45%,89 of 195, Decision - Split ,47%,136 of 282,5:00,
1029,19-Jul-83,8-Aug-86,"5' 11""","5' 9""","74""","70""",Southpaw,Orthodox,40%,46%,155 lbs.,3-Feb-18,W,28 of 45,62%,91 of 129, Decision - Unanimous ,80%,67 of 81,5:00,
1030,18-Dec-87,22-Aug-94,"5' 5""","5' 6""","68""","69""",Orthodox,Switch,56%,37%,125 lbs.,3-Feb-18,W,31 of 62,50%,44 of 76, KO/TKO ,28%,11 of 35,4:34,
1031,7-Dec-79,4-Jan-84,"6' 1""","6' 1""","72""","77""",Orthodox,Southpaw,47%,47%,185 lbs.,27-Jan-18,W,9 of 21,42%,9 of 21, KO/TKO ,23%,8 of 34,3:50,perf
1032,13-Dec-86,25-Jun-90,"5' 6""","5' 11""","66""","74""",Orthodox,Orthodox,46%,36%,155 lbs.,27-Jan-18,L,103 of 196,52%,133 of 227, Decision - Split ,34%,93 of 242,5:00,
1033,19-Oct-88,18-May-89,"5' 8""","5' 10""","70""","73""",Southpaw,Orthodox,40%,46%,155 lbs.,27-Jan-18,W,145 of 322,45%,161 of 338, Decision - Unanimous ,47%,148 of 269,5:00,fight
1034,4-Oct-88,9-Sep-86,"5' 10""","5' 10""","71""","71""",Southpaw,Orthodox,42%,51%,170 lbs.,27-Jan-18,L,56 of 146,38%,60 of 150, Decision - Unanimous ,56%,134 of 220,5:00,
1035,16-Feb-91,2-Jul-87,"5' 8""","5' 7""","70""","73""",Orthodox,Orthodox,41%,38%,145 lbs.,27-Jan-18,W,12 of 33,36%,12 of 34, KO/TKO ,29%,5 of 17,2:47,perf
1036,28-Dec-88,3-Jun-86,"5' 9""","5' 6""","68""","69""",Orthodox,Orthodox,35%,37%,125 lbs.,27-Jan-18,W,68 of 252,26%,71 of 257, Decision - Unanimous ,37%,80 of 214,5:00,
1037,10-Aug-85,15-Mar-82,"5' 4""","5' 5""","63""","65""",Orthodox,Orthodox,42%,44%,115 lbs.,27-Jan-18,W,46 of 65,70%,114 of 149, Decision - Unanimous ,48%,34 of 56,5:00,
1038,13-Apr-88,18-Oct-89,"5' 5""","5' 7""","64""","72""",Orthodox,Orthodox,48%,34%,125 lbs.,27-Jan-18,L,96 of 203,47%,96 of 203, Decision - Split ,31%,68 of 216,5:00,
1039,23-Nov-82,5-Feb-89,"5' 10""","5' 8""","72""","69""",Orthodox,Southpaw,46%,37%,155 lbs.,27-Jan-18,W,60 of 186,32%,62 of 188, Decision - Unanimous ,45%,54 of 109,5:00,
1040,29-Sep-89,13-Mar-81,"6' 0""","6' 0""","76""","73""",Orthodox,Orthodox,41%,39%,170 lbs.,27-Jan-18,W,24 of 47,51%,35 of 67, Submission ,34%,42 of 88,4:21,
1041,22-Oct-91,20-Apr-92,"6' 0""","5' 11""","72""","70""",Orthodox,Switch,41%,48%,145 lbs.,27-Jan-18,L,32 of 90,35%,35 of 95, KO/TKO ,54%,108 of 179,3:48,
1042,31-Jul-91,25-Jun-87,"5' 7""","5' 8""","70""","71""",Southpaw,Orthodox,43%,43%,145 lbs.,20-Jan-18,L,24 of 90,26%,24 of 92, KO/TKO ,31%,48 of 139,2:24,
1043,19-Aug-82,5-Sep-86,"6' 4""","6' 4""","80""","83""",Orthodox,Orthodox,53%,41%,240 lbs.,20-Jan-18,W,70 of 95,73%,200 of 244, Decision - Unanimous ,18%,33 of 126,5:00,belt
1044,20-Mar-79,19-Sep-89,"5' 11""","6' 2""","72""","75""",Orthodox,Orthodox,52%,45%,235 lbs.,20-Jan-18,W,32 of 61,52%,84 of 113, KO/TKO ,46%,42 of 86,2:00,belt perf
1045,26-Mar-88,19-Mar-91,"5' 11""","5' 11""","72""","75""",Orthodox,Orthodox,42%,49%,145 lbs.,20-Jan-18,W,85 of 194,43%,86 of 195, KO/TKO ,47%,91 of 188,0:32,fight
1046,18-Aug-85,28-Feb-80,"6' 3""","6' 1""","76""","75""",Orthodox,Orthodox,43%,52%,230 lbs.,20-Jan-18,W,74 of 209,35%,74 of 209, Decision - Split ,57%,74 of 128,5:00,
1047,27-Oct-91,7-Oct-83,"5' 10""","5' 10""","70""","71""",Southpaw,Southpaw,56%,31%,155 lbs.,20-Jan-18,W,3 of 6,50%,3 of 6, KO/TKO ,50%,2 of 4,0:57,
1048,5-Feb-87,8-May-90,"5' 7""","5' 10""","70""","72""",Orthodox,Orthodox,31%,35%,145 lbs.,20-Jan-18,W,33 of 132,25%,35 of 134, Decision - Unanimous ,33%,59 of 133,5:00,
1049,19-Oct-88,11-Aug-85,"6' 0""","5' 10""","72""","73""",Orthodox,Orthodox,48%,47%,170 lbs.,20-Jan-18,L,8 of 25,32%,9 of 26, KO/TKO ,39%,20 of 42,3:47,perf
1050,25-Dec-88,16-Apr-90,"5' 5""","5' 5""","65""","67""",Orthodox,Orthodox,44%,47%,125 lbs.,20-Jan-18,W,36 of 80,45%,92 of 147, Decision - Unanimous ,38%,49 of 79,5:00,
1051,6-Aug-91,27-Oct-89,"5' 7""","5' 7""","71""","70""",Orthodox,Southpaw,46%,36%,145 lbs.,20-Jan-18,L,35 of 113,30%,36 of 116, Decision - Unanimous ,35%,87 of 216,5:00,
1052,28-Dec-84,28-Apr-89,"5' 10""","5' 7""","70""","70""",Orthodox,Orthodox,41%,41%,145 lbs.,20-Jan-18,L,43 of 146,29%,55 of 158, Decision - Unanimous ,45%,73 of 143,5:00,
1053,25-May-86,10-Apr-91,"5' 9""","5' 10""","71""","70""",Orthodox,Orthodox,40%,51%,145 lbs.,14-Jan-18,W,49 of 133,36%,49 of 133, KO/TKO ,55%,45 of 80,2:36,fight
1054,26-Mar-94,28-Nov-87,"5' 4""","5' 5""","65""","64""",Orthodox,Orthodox,52%,51%,115 lbs.,14-Jan-18,L,54 of 118,45%,96 of 162, Decision - Unanimous ,56%,78 of 122,5:00,
1055,11-May-87,20-Aug-88,"6' 0""","5' 11""","76""","74""",Switch,Switch,54%,39%,170 lbs.,14-Jan-18,W,50 of 66,75%,112 of 132, Decision - Unanimous ,44%,86 of 131,5:00,
1056,16-May-84,4-Jun-86,"5' 10""","5' 10""","71""","73""",Orthodox,Southpaw,38%,38%,145 lbs.,14-Jan-18,W,18 of 64,28%,54 of 108, Submission ,45%,46 of 99,2:22,perf
1057,4-Jun-86,22-Oct-88,"6' 2""","6' 0""","73""","71""",Orthodox,Southpaw,49%,42%,170 lbs.,14-Jan-18,W,35 of 67,52%,56 of 93, Decision - Unanimous ,44%,97 of 175,5:00,
1058,4-Mar-87,26-Mar-88,"5' 4""","5' 9""","68""","68""",Orthodox,Orthodox,42%,38%,135 lbs.,14-Jan-18,L,46 of 87,52%,74 of 119, Decision - Unanimous ,40%,148 of 258,5:00,
1059,9-Sep-87,19-Dec-79,"5' 9""","5' 6""","73""","68""",Orthodox,Southpaw,44%,51%,135 lbs.,14-Jan-18,W,3 of 11,27%,28 of 36, Submission ,48%,22 of 42,4:53,
1060,23-Jul-86,27-Jul-86,"5' 7""","5' 6""",--,"66""",Switch,Orthodox,56%,37%,125 lbs.,14-Jan-18,L,38 of 70,54%,52 of 91, Decision - Split ,51%,53 of 86,5:00,
1061,25-Oct-89,29-Sep-92,"5' 0""","5' 5""","60""","67""",Orthodox,Southpaw,29%,41%,115 lbs.,14-Jan-18,L,38 of 136,27%,64 of 163, Decision - Unanimous ,36%,67 of 164,5:00,
1062,6-Mar-94,28-Jul-89,"5' 8""","5' 10""","69""","69""",Orthodox,Orthodox,41%,49%,145 lbs.,14-Jan-18,W,20 of 34,58%,110 of 169, Decision - Unanimous ,64%,95 of 127,5:00,
1063,26-Feb-90,22-Feb-95,"6' 1""","6' 0""","76""","74""",Southpaw,Southpaw,38%,52%,205 lbs.,30-Dec-17,NC,52 of 180,28%,67 of 198, Decision - Unanimous ,58%,113 of 171,5:00,
1064,9-Jul-85,17-Oct-81,"5' 8""","5' 8""","68""","69""",Orthodox,Southpaw,52%,38%,145 lbs.,30-Dec-17,W,118 of 223,52%,131 of 237, Decision - Unanimous ,19%,48 of 232,5:00,belt fight
1065,20-Sep-88,21-Jan-86,"5' 10""","5' 11""","70""","75""",Orthodox,Orthodox,48%,44%,155 lbs.,30-Dec-17,W,89 of 177,50%,154 of 246, Decision - Unanimous ,32%,25 of 77,5:00,perf
1066,13-Feb-90,16-Mar-93,"6' 0""","5' 10""","75""","73""",Switch,Orthodox,48%,39%,155 lbs.,30-Dec-17,W,17 of 40,42%,24 of 48, Submission ,34%,41 of 87,0:42,
1067,7-Oct-83,,"5' 10""",,"71""",,Southpaw,,31%,,155 lbs.,7-Feb-09,W,7 of 10,70%,22 of 26, Submission ,11%,2 of 10,4:35,
1068,13-Jul-87,10-Oct-87,"5' 4""","5' 1""","64""","63""",Orthodox,Orthodox,41%,43%,125 lbs.,30-Dec-17,L,38 of 112,33%,57 of 131, Decision - Unanimous ,34%,62 of 153,5:00,
1069,26-Apr-84,3-Aug-87,"6' 2""","6' 3""","75""","80""",Orthodox,Orthodox,39%,46%,170 lbs.,30-Dec-17,L,37 of 112,33%,64 of 140, Decision - Unanimous ,28%,64 of 150,5:00,
1070,19-Jun-79,,"6' 1""",,"77""",,Orthodox,,37%,,170 lbs.,10-Dec-08,W,7 of 8,87%,16 of 17, KO/TKO ,33%,1 of 3,0:33,
1071,31-Oct-88,12-Apr-89,"5' 10""","6' 0""","73""","70""",Orthodox,Southpaw,42%,42%,145 lbs.,30-Dec-17,W,41 of 83,49%,56 of 100, Decision - Unanimous ,16%,29 of 102,5:00,
1072,20-Sep-93,12-Oct-87,"6' 0""","6' 0""","74""","73""",Southpaw,Orthodox,43%,35%,185 lbs.,30-Dec-17,D,66 of 161,40%,85 of 181, Decision - Majority ,29%,55 of 178,5:00,
1073,16-Jul-91,6-Jan-93,"5' 9""","5' 6""","68""","66""",Orthodox,Orthodox,46%,52%,135 lbs.,30-Dec-17,L,49 of 159,30%,53 of 163, Decision - Unanimous ,50%,107 of 196,5:00,
1074,24-Dec-86,31-Aug-94,"5' 7""","5' 6""","66""","65""",Southpaw,Orthodox,45%,35%,125 lbs.,30-Dec-17,W,12 of 24,50%,54 of 75, Submission ,50%,4 of 6,1:41,perf
1075,20-Mar-82,26-Oct-84,"5' 11""","5' 8""","74""","70""",Southpaw,Southpaw,45%,46%,170 lbs.,16-Dec-17,L,86 of 212,40%,137 of 267, Decision - Unanimous ,59%,219 of 343,5:00,
1076,21-May-82,4-Mar-85,"5' 8""","5' 6""","71""","70""",Orthodox,Orthodox,47%,39%,145 lbs.,16-Dec-17,L,17 of 37,45%,17 of 37, KO/TKO ,26%,10 of 38,4:33,
1077,26-Sep-86,15-Sep-91,"6' 0""","5' 10""","73""","71""",Orthodox,Orthodox,40%,47%,170 lbs.,16-Dec-17,W,78 of 200,39%,81 of 203, Decision - Unanimous ,37%,51 of 136,5:00,
1078,28-Oct-79,27-Feb-87,"6' 2""","6' 3""","76""","77""",Orthodox,Orthodox,47%,51%,205 lbs.,16-Dec-17,W,13 of 21,61%,13 of 22, KO/TKO ,48%,23 of 46,2:45,
1079,16-Mar-84,24-Feb-83,"5' 11""","6' 2""","77""","78""",Switch,Orthodox,52%,49%,185 lbs.,16-Dec-17,L,26 of 87,29%,41 of 103, Decision - Unanimous ,39%,65 of 143,5:00,
1080,8-May-90,30-Dec-90,"6' 2""","6' 0""","72""","74""",Orthodox,Orthodox,45%,45%,185 lbs.,16-Dec-17,W,32 of 64,50%,37 of 69, Submission ,56%,37 of 66,2:42,fight
1081,23-Jul-86,22-May-82,"5' 10""","5' 11""","71""","72""",Orthodox,Switch,42%,45%,170 lbs.,16-Dec-17,W,20 of 39,51%,42 of 66, KO/TKO ,50%,13 of 26,4:10,
1082,10-Jun-81,14-Jul-87,"6' 1""","6' 1""","74""","74""",Orthodox,Southpaw,51%,44%,170 lbs.,16-Dec-17,W,5 of 5,100%,5 of 5, KO/TKO ,25%,1 of 4,0:59,perf
1083,27-Feb-87,6-Feb-86,"5' 10""","5' 11""","72""","70""",Orthodox,Southpaw,34%,49%,155 lbs.,2-Sep-17,W,41 of 86,47%,43 of 88, KO/TKO ,40%,22 of 54,4:28,
1084,9-Jun-84,14-Jul-87,"5' 11""","5' 9""","70""","72""",Orthodox,Orthodox,48%,31%,170 lbs.,25-Nov-17,L,10 of 27,37%,10 of 27, Submission ,25%,21 of 39,3:22,
1085,3-May-85,18-Sep-83,"5' 8""","5' 8""","68""","70""",Orthodox,Orthodox,51%,41%,155 lbs.,16-Dec-17,W,47 of 104,45%,57 of 119, Decision - Unanimous ,31%,30 of 93,5:00,
1086,12-Dec-89,4-Aug-87,"6' 0""","5' 11""","74""","78""",Orthodox,Switch,41%,48%,185 lbs.,16-Dec-17,W,6 of 37,16%,6 of 37, KO/TKO ,58%,10 of 19,2:14,perf
1087,10-Oct-89,21-Jun-84,"6' 0""","6' 0""","73""","74""",Orthodox,Orthodox,44%,48%,170 lbs.,16-Dec-17,W,51 of 127,40%,97 of 183, Decision - Unanimous ,27%,16 of 51,5:00,
1088,2-Nov-83,21-Feb-91,"5' 8""","5' 8""","70""","69""",Orthodox,Switch,50%,38%,145 lbs.,9-Dec-17,L,60 of 97,61%,60 of 97, Submission ,34%,24 of 70,3:22,fight perf
1089,14-Jul-92,15-Jun-88,"5' 10""","5' 8""","71""","71""",Orthodox,Southpaw,33%,38%,145 lbs.,9-Dec-17,L,36 of 181,19%,37 of 182, Decision - Unanimous ,44%,91 of 199,5:00,
1090,26-Apr-88,31-Jul-89,"5' 6""","5' 7""","67""","71""",Orthodox,Orthodox,39%,49%,135 lbs.,9-Dec-17,W,7 of 14,50%,10 of 17, KO/TKO ,30%,3 of 10,1:07,perf
1091,30-Sep-83,28-Jul-87,"5' 9""","5' 10""","69""","70""",Orthodox,Southpaw,48%,44%,155 lbs.,9-Dec-17,W,49 of 82,59%,173 of 212, Decision - Unanimous ,57%,60 of 87,5:00,
1092,21-Apr-87,22-Jun-88,"6' 1""","6' 1""","75""","73""",Southpaw,Orthodox,47%,47%,185 lbs.,9-Dec-17,W,79 of 141,56%,104 of 171, Decision - Unanimous ,50%,41 of 72,5:00,
1093,25-May-91,6-Apr-94,"5' 9""","5' 10""","72""","73""",Orthodox,Switch,35%,44%,135 lbs.,9-Dec-17,L,78 of 198,39%,109 of 252, Decision - Unanimous ,41%,79 of 188,5:00,
1094,4-Oct-84,19-Feb-84,"5' 6""","5' 6""","68""","66""",Orthodox,Orthodox,47%,54%,135 lbs.,9-Dec-17,W,23 of 63,36%,132 of 182, Decision - Split ,69%,191 of 215,5:00,
1095,12-Dec-85,23-Oct-88,"5' 6""","5' 9""","67""","70""",Southpaw,Orthodox,52%,44%,135 lbs.,9-Dec-17,L,23 of 67,34%,37 of 82, KO/TKO ,40%,23 of 52,1:06,
1096,28-Aug-96,21-Mar-92,"5' 5""","5' 6""","71""","65""",Southpaw,Orthodox,37%,47%,125 lbs.,9-Dec-17,L,8 of 28,28%,9 of 29, Submission ,60%,42 of 62,1:54,
1097,12-Aug-80,10-Jan-91,"5' 6""","5' 6""","66""","68""",Orthodox,Orthodox,47%,39%,135 lbs.,9-Dec-17,W,58 of 106,54%,66 of 115, Decision - Split ,39%,104 of 180,5:00,
1098,2-Sep-89,4-Aug-80,"5' 6""","5' 9""","67""","71""",Orthodox,Southpaw,35%,45%,145 lbs.,9-Dec-17,W,35 of 97,36%,38 of 100, Decision - Unanimous ,38%,39 of 100,5:00,
1099,16-Jun-86,5-Nov-86,"5' 8""","5' 6""","68""","70""",Orthodox,Orthodox,57%,37%,155 lbs.,9-Dec-17,L,46 of 97,47%,57 of 110, Submission ,44%,65 of 136,0:50,
1100,29-Oct-87,6-Aug-92,"6' 3""","6' 0""","77""","74""",Orthodox,Orthodox,33%,56%,185 lbs.,9-Dec-17,L,18 of 73,24%,26 of 86, KO/TKO ,61%,77 of 120,2:27,
1101,4-Dec-91,9-Sep-86,"5' 11""","5' 7""","69""","70""",Orthodox,Orthodox,46%,45%,145 lbs.,2-Dec-17,W,174 of 397,43%,181 of 406, KO/TKO ,53%,89 of 165,4:51,belt
1102,17-May-80,5-Sep-86,"6' 4""","6' 4""","80""","83""",Orthodox,Orthodox,64%,41%,265 lbs.,2-Dec-17,L,1 of 4,25%,1 of 4, KO/TKO ,42%,11 of 20,1:42,
1103,9-Feb-87,18-Aug-93,"5' 4""","5' 6""","64""","69""",Orthodox,Orthodox,45%,37%,135 lbs.,2-Dec-17,W,36 of 83,43%,85 of 148, Decision - Unanimous ,25%,38 of 112,5:00,
1104,11-Jan-84,14-Nov-88,"5' 9""","5' 11""","69""","70""",Orthodox,Orthodox,41%,59%,155 lbs.,2-Dec-17,W,155 of 356,43%,162 of 366, KO/TKO ,51%,124 of 240,3:59,fight
1105,16-Aug-89,6-Jan-86,"5' 1""","5' 3""","60""","62""",Orthodox,Orthodox,47%,48%,115 lbs.,2-Dec-17,W,95 of 173,54%,154 of 238, Decision - Unanimous ,40%,66 of 148,5:00,
1106,17-Oct-89,25-Apr-84,"5' 10""","5' 11""","74""","70""",Orthodox,Orthodox,52%,44%,155 lbs.,2-Dec-17,L,6 of 13,46%,12 of 20, KO/TKO ,67%,37 of 52,4:06,
1107,21-Feb-88,7-Sep-87,"5' 11""","5' 10""","76""","75""",Orthodox,Orthodox,50%,35%,170 lbs.,2-Dec-17,L,93 of 161,57%,96 of 164, KO/TKO ,49%,78 of 155,2:02,fight
1108,1-May-89,9-Mar-88,"5' 9""","5' 9""","73""","70""",Southpaw,Orthodox,43%,53%,155 lbs.,2-Dec-17,W,52 of 137,37%,71 of 164, Decision - Unanimous ,39%,55 of 118,5:00,
1109,18-Sep-84,5-May-87,"5' 4""","5' 7""","65""","67""",Orthodox,Orthodox,36%,38%,115 lbs.,2-Dec-17,W,76 of 262,29%,82 of 268, Decision - Split ,39%,92 of 234,5:00,
1110,22-Oct-91,2-Aug-83,"5' 3""","5' 1""","64""","65""",Switch,Orthodox,44%,28%,115 lbs.,2-Dec-17,W,40 of 60,66%,131 of 184, KO/TKO ,38%,17 of 38,4:34,
1111,19-Oct-88,11-Aug-85,"6' 0""","5' 10""","72""","73""",Orthodox,Orthodox,48%,47%,170 lbs.,2-Dec-17,L,39 of 60,65%,41 of 62, KO/TKO ,44%,34 of 70,4:21,
1112,3-Jan-91,26-Dec-89,"6' 0""","6' 4""","72""","77""",Switch,Southpaw,46%,50%,205 lbs.,2-Dec-17,L,4 of 6,66%,4 of 6, Submission ,57%,27 of 42,3:39,
1113,19-Jul-87,8-Nov-89,"6' 1""","6' 3""","78""","76""",Southpaw,Orthodox,59%,51%,264 lbs.,2-Dec-17,W,22 of 44,50%,25 of 47, KO/TKO ,39%,17 of 41,2:33,
1114,22-Aug-94,5-Mar-86,"5' 6""","5' 6""","69""","66""",Switch,Orthodox,37%,40%,125 lbs.,5-Aug-17,W,12 of 22,54%,15 of 26, Submission ,33%,12 of 19,3:56,perf
1115,16-Dec-88,24-Sep-82,"5' 5""","5' 7""","65""","69""",Southpaw,Orthodox,41%,30%,135 lbs.,1-Dec-17,W,186 of 456,40%,242 of 524, Decision - Unanimous ,32%,154 of 433,5:00,belt fight
1116,22-Sep-78,9-Sep-88,"5' 7""","5' 11""","70""","70""",Southpaw,Orthodox,41%,41%,155 lbs.,22-Sep-17,L,2 of 3,66%,2 of 3, KO/TKO ,65%,13 of 20,1:30,
1117,24-Oct-94,31-Mar-86,"5' 11""","5' 8""","72""","71""",Switch,Orthodox,57%,32%,135 lbs.,1-Dec-17,W,141 of 252,55%,142 of 255, Decision - Unanimous ,30%,96 of 296,5:00,
1118,30-Aug-79,27-Jul-83,"5' 4""","5' 5""","65""","67""",Orthodox,Orthodox,30%,40%,125 lbs.,1-Dec-17,L,71 of 236,30%,75 of 241, Decision - Split ,29%,77 of 222,5:00,
1119,29-Sep-86,18-Dec-87,"6' 1""","6' 1""","73""","77""",Orthodox,Southpaw,45%,43%,185 lbs.,1-Dec-17,L,17 of 31,54%,59 of 81, KO/TKO ,42%,45 of 95,2:18,perf
1120,18-Nov-84,25-Jun-87,"5' 4""","5' 6""","68""","66""",Orthodox,,58%,41%,125 lbs.,1-Dec-17,D,47 of 81,58%,82 of 117, Decision - Majority ,41%,102 of 175,5:00,
1121,22-Mar-87,21-Feb-92,"5' 6""","5' 7""","65""","71""",Orthodox,Orthodox,41%,49%,135 lbs.,1-Dec-17,L,0 of 0,0%,0 of 0, Submission ,11%,1 of 9,0:30,perf
1122,8-Nov-85,14-Feb-95,"5' 7""","5' 7""","69""","68""",Orthodox,Orthodox,58%,37%,125 lbs.,1-Dec-17,L,10 of 17,58%,17 of 24, Submission ,35%,8 of 19,2:00,
1123,15-Sep-92,1-Jul-80,"6' 3""","6' 5""","75""",--,Orthodox,Orthodox,58%,44%,249 lbs.,28-Oct-17,W,35 of 54,64%,47 of 70, Submission ,25%,4 of 10,2:08,
1124,8-Apr-88,22-Aug-81,"6' 1""","6' 3""","74""","76""",Orthodox,Orthodox,42%,48%,185 lbs.,1-Dec-17,L,96 of 183,52%,113 of 200, KO/TKO ,59%,200 of 312,0:58,
1125,9-Mar-89,25-Feb-91,"5' 4""","5' 3""","63""","62""",,Orthodox,20%,43%,125 lbs.,1-Dec-17,L,2 of 10,20%,2 of 10, Submission ,23%,5 of 15,1:40,
1126,16-Sep-90,30-Mar-89,"5' 6""","5' 6""","66""","69""",Southpaw,Orthodox,34%,37%,125 lbs.,1-Dec-17,L,35 of 102,34%,35 of 102, KO/TKO ,35%,36 of 97,2:53,
