,agg_dob_first,agg_dob_second,agg_height_first,agg_height_second,agg_reach_first,agg_reach_second,agg_stand_first,agg_stand_second,agg_str_acc_first,agg_str_acc_second,agg_weight_first,date_card,first_fighter_res,first_sig_str_,first_sig_str_percentage,first_total_str,method,second_sig_str_percentage,second_total_str,time,type
2259,12-Sep-84,19-Nov-82,"5' 6""","5' 7""","67""","67""",Orthodox,Orthodox,37%,49%,135 lbs.,15-Jul-15,W,24 of 68,35%,26 of 70, Decision - Split ,54%,136 of 157,5:00,
2260,6-Dec-80,27-Feb-91,"6' 1""","6' 1""","77""","76""",Orthodox,Orthodox,42%,39%,170 lbs.,15-Jul-15,L,39 of 82,47%,48 of 92, Decision - Unanimous ,42%,87 of 188,5:00,
2261,24-Sep-78,31-Jul-91,"5' 6""","5' 7""","68""","70""",Orthodox,Southpaw,31%,43%,135 lbs.,11-Jul-15,L,20 of 55,36%,20 of 55, KO/TKO ,43%,24 of 55,0:29,perf
2262,15-Jun-81,18-Nov-82,"5' 11""","6' 2""","77""","78""",Southpaw,Orthodox,53%,38%,185 lbs.,15-Jul-15,W,41 of 86,47%,64 of 111, Decision - Unanimous ,30%,20 of 67,5:00,
2263,15-Jan-86,26-May-85,"6' 1""","6' 0""","76""","74""",Orthodox,Orthodox,40%,48%,170 lbs.,15-Jul-15,L,20 of 97,20%,24 of 101, KO/TKO ,51%,64 of 115,3:37,
2264,28-Mar-85,11-Feb-83,"5' 9""","6' 0""","71""","75""",Orthodox,Orthodox,39%,43%,170 lbs.,12-Jul-15,L,5 of 14,35%,14 of 23, KO/TKO ,57%,29 of 47,4:29,perf
2265,11-May-87,20-Oct-82,"6' 0""","5' 10""","76""",--,Switch,,54%,46%,170 lbs.,12-Jul-15,W,15 of 26,57%,31 of 43, Submission ,27%,7 of 15,1:19,belt perf
2266,8-Jan-91,27-Nov-91,"5' 10""","5' 11""","71""","75""",Orthodox,Orthodox,54%,54%,170 lbs.,12-Jul-15,W,27 of 45,60%,53 of 72, Decision - Unanimous ,49%,50 of 79,5:00,
2267,2-Aug-83,6-Jan-86,"5' 1""","5' 3""","65""","62""",Orthodox,Orthodox,28%,48%,115 lbs.,12-Jul-15,L,8 of 24,33%,19 of 36, Submission ,78%,102 of 120,2:38,
2268,16-Oct-83,22-Sep-86,"5' 8""","5' 11""","71""","71""",Orthodox,Orthodox,44%,39%,145 lbs.,12-Jul-15,W,4 of 7,57%,4 of 7, KO/TKO ,20%,1 of 5,0:16,
2269,14-Mar-88,14-Dec-87,"6' 3""","6' 1""","79""","73""",Orthodox,Orthodox,52%,40%,185 lbs.,12-Jul-15,W,12 of 19,63%,21 of 28, Submission ,37%,5 of 10,2:52,perf
2270,13-Aug-86,1-Oct-79,"5' 7""","5' 8""","70""","72""",Orthodox,Orthodox,40%,64%,135 lbs.,12-Jul-15,L,13 of 26,50%,34 of 51, Decision - Unanimous ,68%,47 of 57,5:00,
2271,30-Jun-81,5-Jan-81,"6' 1""","6' 3""","74""","75""",Orthodox,Orthodox,36%,55%,185 lbs.,12-Jul-15,L,25 of 59,42%,29 of 63, Decision - Unanimous ,67%,149 of 180,5:00,
2272,13-Mar-81,11-Apr-89,"6' 0""","6' 1""","73""","79""",Orthodox,Orthodox,39%,23%,170 lbs.,12-Jul-15,W,54 of 96,56%,103 of 145, Decision - Unanimous ,24%,32 of 72,5:00,
2273,3-Nov-87,21-Jan-87,"5' 6""","5' 8""","67""","72""",Southpaw,Orthodox,25%,38%,125 lbs.,12-Jul-15,L,4 of 13,30%,4 of 13, KO/TKO ,57%,21 of 35,1:36,
2274,1-May-85,14-Jul-88,"5' 6""","5' 9""","66""","74""",Orthodox,Southpaw,49%,49%,145 lbs.,11-Jul-15,L,31 of 48,64%,36 of 53, KO/TKO ,50%,74 of 120,4:57,belt perf
